severity,category,path,line,pattern,snippet
medium,fake_mock_demo,FEATURE_STATUS.md,172,\bfake\b,1. **AI Analysis is Fake**
medium,fake_mock_demo,FEATURE_STATUS.md,314,\bfake\b,- ✅ No fake data is used in Dashboard; all widgets pull real analytics via API
medium,fake_mock_demo,FEATURE_STATUS.md,326,\bfake\b,- ✅ Removed fake UI from Settings
medium,fake_mock_demo,FEATURE_STATUS.md,11,\bdummy\b,"- ⚠️ **PARTIAL**: Backend exists but UI incomplete, or uses dummy/placeholder data"
medium,fake_mock_demo,FEATURE_STATUS.md,102,\bdummy\b,| **ai_analysis** | ✅ DONE | AI analysis results (dummy data) |
medium,fake_mock_demo,FEATURE_STATUS.md,158,\bdummy\b,"| **5. AI Analysis** | ⚠️ PARTIAL | **Uses dummy AI, not real AI** |"
medium,fake_mock_demo,FEATURE_STATUS.md,245,\bdummy\b,### ⚠️ TESTED BUT USES DUMMY DATA
low,fake_mock_demo,FEATURE_STATUS.md,294,\bdemo\b,"- **Current State**: 83% complete, suitable for **demo/testing**"
low,todo_placeholder,FEATURE_STATUS.md,11,placeholder,"- ⚠️ **PARTIAL**: Backend exists but UI incomplete, or uses dummy/placeholder data"
low,todo_placeholder,FEATURE_STATUS.md,203,placeholder,"- **Issue**: Shows ""Chưa tích hợp"" placeholder"
low,todo_placeholder,FEATURE_STATUS.md,248,placeholder,- Report generation (placeholder)
low,todo_placeholder,FEATURE_STATUS.md,12,not implemented,"- ❌ **DISABLED_PENDING**: Not implemented, marked clearly in UI as ""Chưa tích hợp"""
low,todo_placeholder,FEATURE_STATUS.md,60,not implemented,| **Báo cáo** | ❌ DISABLED_PENDING | Report templates | Not implemented |
low,todo_placeholder,FEATURE_STATUS.md,61,not implemented,| **Tích hợp** | ❌ DISABLED_PENDING | Third-party integrations | Not implemented |
low,todo_placeholder,FEATURE_STATUS.md,62,not implemented,| **Sao lưu** | ❌ DISABLED_PENDING | Database backup | Not implemented |
low,todo_placeholder,FEATURE_STATUS.md,185,not implemented,- **Location**: Email/webhook sending not implemented
low,todo_placeholder,FEATURE_STATUS.md,251,not implemented,### ❌ NOT TESTED (Not Implemented)
low,todo_placeholder,FEATURE_STATUS.md,290,not implemented,- **Not Implemented**: 3 (3%)
low,todo_placeholder,FEATURE_STATUS.md,215,coming soon,"- **Issue**: API exists but UI shows ""Coming Soon"""
low,todo_placeholder,FEATURE_STATUS.md,219,coming soon,"- **Issue**: API exists but UI shows ""Coming Soon"""
low,todo_placeholder,FEATURE_STATUS.md,223,coming soon,"- **Issue**: API exists but UI shows ""Coming Soon"""
low,todo_placeholder,FEATURE_STATUS.md,12,Chưa tích hợp,"- ❌ **DISABLED_PENDING**: Not implemented, marked clearly in UI as ""Chưa tích hợp"""
low,todo_placeholder,FEATURE_STATUS.md,203,Chưa tích hợp,"- **Issue**: Shows ""Chưa tích hợp"" placeholder"
medium,fake_mock_demo,HUONG_DAN_NHANH.txt,10,\bmock\b,- Cho nao co mock/fake/dummy/demo/hardcoded/TODO
medium,fake_mock_demo,HUONG_DAN_NHANH.txt,10,\bfake\b,- Cho nao co mock/fake/dummy/demo/hardcoded/TODO
medium,fake_mock_demo,HUONG_DAN_NHANH.txt,10,\bdummy\b,- Cho nao co mock/fake/dummy/demo/hardcoded/TODO
medium,fake_mock_demo,HUONG_DAN_NHANH.txt,10,\bdemo\b,- Cho nao co mock/fake/dummy/demo/hardcoded/TODO
low,todo_placeholder,HUONG_DAN_NHANH.txt,10,TODO,- Cho nao co mock/fake/dummy/demo/hardcoded/TODO
low,todo_placeholder,HUONG_DAN_NHANH.txt,10,hardcoded,- Cho nao co mock/fake/dummy/demo/hardcoded/TODO
medium,fake_mock_demo,nope_ultra_deep_project_scanner.py,13,\bmock\b,- fake/mock/dummy/demo hardcoded risk
medium,fake_mock_demo,nope_ultra_deep_project_scanner.py,392,\bmock\b,"if re.search(r""dummy|fake|mock|Math\.random"", line, re.I): return ""medium"""
medium,fake_mock_demo,nope_ultra_deep_project_scanner.py,13,\bfake\b,- fake/mock/dummy/demo hardcoded risk
medium,fake_mock_demo,nope_ultra_deep_project_scanner.py,392,\bfake\b,"if re.search(r""dummy|fake|mock|Math\.random"", line, re.I): return ""medium"""
medium,fake_mock_demo,nope_ultra_deep_project_scanner.py,13,\bdummy\b,- fake/mock/dummy/demo hardcoded risk
medium,fake_mock_demo,nope_ultra_deep_project_scanner.py,110,\bdummy\b,"""ai"": [""AI_PROVIDER"", ""openai"", ""gemini"", ""dummy"", ""sentiment"", ""emotion"", ""intent"", ""rag""],"
medium,fake_mock_demo,nope_ultra_deep_project_scanner.py,392,\bdummy\b,"if re.search(r""dummy|fake|mock|Math\.random"", line, re.I): return ""medium"""
medium,fake_mock_demo,nope_ultra_deep_project_scanner.py,13,\bdemo\b,- fake/mock/dummy/demo hardcoded risk
medium,fake_mock_demo,nope_ultra_deep_project_scanner.py,75,sampleData,"r""\bmock\b"", r""\bfake\b"", r""\bdummy\b"", r""\bdemo\b"", r""sampleData"", r""sample_data"","
medium,fake_mock_demo,nope_ultra_deep_project_scanner.py,75,sample_data,"r""\bmock\b"", r""\bfake\b"", r""\bdummy\b"", r""\bdemo\b"", r""sampleData"", r""sample_data"","
medium,fake_mock_demo,nope_ultra_deep_project_scanner.py,76,generateMock,"r""generateMock"", r""mockData"", r""setTimeout\s*\("", r""Math\.random\s*\("""
medium,fake_mock_demo,nope_ultra_deep_project_scanner.py,76,mockData,"r""generateMock"", r""mockData"", r""setTimeout\s*\("", r""Math\.random\s*\("""
low,todo_placeholder,nope_ultra_deep_project_scanner.py,78,TODO,"""todo_placeholder"": ["
low,todo_placeholder,nope_ultra_deep_project_scanner.py,79,TODO,"r""TODO"", r""FIXME"", r""placeholder"", r""not implemented"", r""coming soon"","
low,todo_placeholder,nope_ultra_deep_project_scanner.py,79,FIXME,"r""TODO"", r""FIXME"", r""placeholder"", r""not implemented"", r""coming soon"","
low,todo_placeholder,nope_ultra_deep_project_scanner.py,78,placeholder,"""todo_placeholder"": ["
low,todo_placeholder,nope_ultra_deep_project_scanner.py,79,placeholder,"r""TODO"", r""FIXME"", r""placeholder"", r""not implemented"", r""coming soon"","
low,todo_placeholder,nope_ultra_deep_project_scanner.py,79,not implemented,"r""TODO"", r""FIXME"", r""placeholder"", r""not implemented"", r""coming soon"","
low,todo_placeholder,nope_ultra_deep_project_scanner.py,79,coming soon,"r""TODO"", r""FIXME"", r""placeholder"", r""not implemented"", r""coming soon"","
low,todo_placeholder,nope_ultra_deep_project_scanner.py,80,Chưa tích hợp,"r""Chưa tích hợp"", r""Chưa cấu hình"", r""tạm thời"", r""hardcoded"""
low,todo_placeholder,nope_ultra_deep_project_scanner.py,80,Chưa cấu hình,"r""Chưa tích hợp"", r""Chưa cấu hình"", r""tạm thời"", r""hardcoded"""
low,todo_placeholder,nope_ultra_deep_project_scanner.py,80,tạm thời,"r""Chưa tích hợp"", r""Chưa cấu hình"", r""tạm thời"", r""hardcoded"""
low,todo_placeholder,nope_ultra_deep_project_scanner.py,13,hardcoded,- fake/mock/dummy/demo hardcoded risk
low,todo_placeholder,nope_ultra_deep_project_scanner.py,80,hardcoded,"r""Chưa tích hợp"", r""Chưa cấu hình"", r""tạm thời"", r""hardcoded"""
medium,unsafe_frontend,nope_ultra_deep_project_scanner.py,83,dangerouslySetInnerHTML,"r""dangerouslySetInnerHTML"", r""innerHTML\s*="", r""eval\s*\("", r""new Function\s*\("","
high,security_backend,nope_ultra_deep_project_scanner.py,87,CORSMiddleware,"r""allow_origins=\[\""?\*\""?\]"", r""CORSMiddleware"", r""debug=True"", r""print\([^)]*(token|secret|password|env)"","
high,security_backend,nope_ultra_deep_project_scanner.py,87,debug=True,"r""allow_origins=\[\""?\*\""?\]"", r""CORSMiddleware"", r""debug=True"", r""print\([^)]*(token|secret|password|env)"","
high,security_backend,nope_ultra_deep_project_scanner.py,88,literal_column,"r""execute\(\s*f[\""']"", r""raw\s*\("", r""literal_column"", r""text\(\s*f[\""']"""
medium,silent_errors,nope_ultra_deep_project_scanner.py,480,except\s+Exception\s*:\s*pass,except Exception: pass
high,destructive,nope_ultra_deep_project_scanner.py,95,drop_all,"r""drop_all"", r""DROP TABLE"", r""TRUNCATE"", r""deleteMany\(\s*{}\s*\)"", r""rm\s+-rf"","
high,destructive,nope_ultra_deep_project_scanner.py,96,drop_all,"r""Base\.metadata\.drop_all"""
high,destructive,nope_ultra_deep_project_scanner.py,95,DROP TABLE,"r""drop_all"", r""DROP TABLE"", r""TRUNCATE"", r""deleteMany\(\s*{}\s*\)"", r""rm\s+-rf"","
high,destructive,nope_ultra_deep_project_scanner.py,95,TRUNCATE,"r""drop_all"", r""DROP TABLE"", r""TRUNCATE"", r""deleteMany\(\s*{}\s*\)"", r""rm\s+-rf"","
medium,fake_mock_demo,PRODUCTION_READINESS_REPORT.md,13,\bfake\b,1. ✅ Fake UI Removal
medium,fake_mock_demo,PRODUCTION_READINESS_REPORT.md,23,\bfake\b,- **No fake UI** - all features are real or clearly marked as pending
medium,fake_mock_demo,PRODUCTION_READINESS_REPORT.md,30,\bfake\b,## 1. FAKE UI REMOVAL ✅ COMPLETE
medium,fake_mock_demo,PRODUCTION_READINESS_REPORT.md,32,\bfake\b,### Status: ✅ ALL FAKE UI REMOVED OR MARKED
medium,fake_mock_demo,PRODUCTION_READINESS_REPORT.md,38,\bfake\b,4. Removed all fake success toasts
medium,fake_mock_demo,PRODUCTION_READINESS_REPORT.md,39,\bfake\b,5. Removed all setTimeout() fake saves
medium,fake_mock_demo,PRODUCTION_READINESS_REPORT.md,179,\bfake\b,- ✅ All pending tabs clearly marked (no fake UI)
medium,fake_mock_demo,PRODUCTION_READINESS_REPORT.md,466,\bfake\b,- No fake UI
medium,fake_mock_demo,PRODUCTION_READINESS_REPORT.md,526,\bfake\b,"The Social Listening Web App is **87% complete** (up from 83%) and **ready for demo/testing**. The codebase is clean, well-structured, and has no fake UI. All core features are functional with real backend APIs and database persistence."
medium,fake_mock_demo,PRODUCTION_READINESS_REPORT.md,536,\bfake\b,- ✅ No fake UI
medium,fake_mock_demo,PRODUCTION_READINESS_REPORT.md,18,\bdummy\b,6. ⚠️ Core Workflow (AI uses dummy data)
medium,fake_mock_demo,PRODUCTION_READINESS_REPORT.md,46,\bdummy\b,- ✅ Mentions: Real CRUD (AI analysis uses dummy data - marked in FEATURE_STATUS.md)
medium,fake_mock_demo,PRODUCTION_READINESS_REPORT.md,139,\bdummy\b,"| **Mentions** | ✅ WORKING | `GET /api/mentions/` | CRUD working, AI uses dummy data |"
medium,fake_mock_demo,PRODUCTION_READINESS_REPORT.md,210,\bdummy\b,"- Added AI provider abstraction (Dummy, OpenAI, Gemini)"
medium,fake_mock_demo,PRODUCTION_READINESS_REPORT.md,218,\bdummy\b,"AI_PROVIDER=openai  # or gemini, or dummy"
medium,fake_mock_demo,PRODUCTION_READINESS_REPORT.md,284,\bdummy\b,| 1 | ~~AI analysis uses dummy data~~ | 🔴 CRITICAL | **✅ FIXED** | Phase 3 complete - Real AI integrated |
medium,fake_mock_demo,PRODUCTION_READINESS_REPORT.md,443,\bdummy\b,1. 🔴 ~~AI analysis uses dummy data~~ - **✅ FIXED (Phase 3)**
